Sl No,City,2022 Accidents,2023 Accidents,2022 Ranking Accidents,2023 Ranking Accidents,2022 Killed,2023 Killed,2022 Ranking Killed,2023 Ranking Killed,2022 Injured,2023 Injured,2022 Ranking Injured,2023 Ranking Injured
1,Agra,"1,029","1,007",28,29,548,499,9,11,795,657,29,31
2,Ahmedabad,"1,711","1,767",19,19,488,535,11,8,"1,305","1,347",21,21
3,Allahabad (Prayagraj),"1,370","1,297",24,24,603,582,6,5,886,865,28,28
4,Amritsar,117,147,50,50,82,110,48,48,62,73,50,50
5,Asansol Durgapur,494,500,40,42,359,353,17,17,309,271,44,44
6,Aurangabad,528,619,38,35,199,203,34,36,370,431,42,40
7,Bengaluru,"3,822","4,974",4,2,772,915,2,2,"3,189","4,162",6,3
8,Bhopal,"3,313","2,906",6,9,348,196,20,39,"2,645","2,196",8,15
9,Chandigarh,237,182,47,49,83,67,47,49,203,171,45,47
10,Coimbatore,"1,085","1,161",26,28,272,305,28,27,939,993,25,24
11,Chennai,"3,452","3,653",5,4,507,503,10,10,"3,724","3,958",4,4
12,Delhi,"5,652","5,834",1,1,"1,461","1,457",1,1,"5,201","5,470",1,1
13,Dhanbad,179,435,48,46,114,306,45,26,73,135,49,49
14,Faridabad,594,598,35,37,263,269,30,28,452,485,37,38
15,Ghaziabad,886,991,30,30,363,365,16,16,638,703,30,30
16,Gwalior,"2,057","2,064",13,16,353,344,19,19,"1,498","1,567",18,18
17,Hyderabad,"2,516","2,943",9,7,323,335,23,20,"2,252","2,596",10,10
18,Indore,"4,680","3,566",2,5,639,257,5,31,"3,967","2,806",3,7
19,Jabalpur,"4,046","4,205",3,3,481,545,12,7,"4,181","4,753",2,2
20,Jaipur,"2,687","2,915",8,8,765,849,3,3,"2,167","2,331",12,11
21,Jamshedpur,167,329,49,47,68,218,49,33,115,214,48,45
22,Jodhpur,684,686,33,33,269,261,29,30,505,565,36,35
23,Kannur,"1,635","1,636",20,20,149,117,43,46,"2,118","2,018",14,16
24,Kanpur,"1,424","1,342",23,23,640,638,4,4,"1,011",985,24,25
25,Khozikode,"2,054","2,194",14,14,195,172,36,42,"2,164","2,265",13,14
26,Kochi,"2,432","2,803",10,10,156,177,41,41,"2,361","2,788",9,8
27,Kolkata,"1,948","1,994",15,17,185,159,38,44,"1,718","1,754",16,17
28,Kollam,"2,082","2,136",12,15,214,211,31,34,"2,175","2,318",11,13
29,Kota,444,592,44,38,111,114,46,47,432,641,39,33
30,Lucknow,"1,349","1,460",25,22,587,568,7,6,935,983,26,26
31,Ludhiana,467,504,43,41,364,402,15,12,174,209,46,46
32,Madurai,744,768,32,32,192,264,37,29,601,583,33,34
33,Mallapuram,"2,991","3,253",7,6,320,309,24,23,"3,499","3,801",5,5
34,Meerut,926,939,29,31,345,395,21,13,935,848,26,29
35,Mumbai,"1,895","2,533",17,12,371,384,14,14,"1,671","2,617",17,9
36,Nagpur,"1,080","1,213",27,27,310,308,25,25,"1,169","1,211",23,23
37,Nashik,479,481,41,44,207,208,33,35,540,493,35,36
38,Patna,275,322,46,48,198,200,35,37,121,166,47,48
39,Pune,871,"1,230",31,26,325,351,22,18,608,881,32,27
40,Raipur,"1,911","1,961",16,18,583,507,8,9,"1,322","1,440",20,19
41,Rajkot,498,494,39,43,150,178,42,40,422,380,40,42
42,Srinagar,426,476,45,45,53,56,50,50,438,492,38,37
43,Surat,683,650,34,34,293,309,27,24,553,461,34,39
44,Thiruvanthapuram,"1,825","2,213",18,13,171,137,40,45,"1,911","2,326",15,12
45,Thrissur,"2,374","2,613",11,11,210,231,32,32,"2,711","3,029",7,6
46,Tiruchirapalli,542,619,36,36,149,165,43,43,624,652,31,32
47,Vadodra,478,566,42,39,181,199,39,38,378,404,41,41
48,Varanasi,539,558,37,40,294,327,26,21,330,344,43,43
49,Vijaywada city,"1,543","1,522",21,21,418,373,13,15,"1,367","1,416",19,20
50,Vizaq,"1,531","1,293",22,25,358,322,18,22,"1,288","1,222",22,22
,Total,"76,752","81,144",,,"17,089","17,255",,,"69,052","73,476",,
