Sl No,State,2019 Accidents,2020 Accidents,2021 Accidents,2022 Accidents,2023 Accidents,Change from 2022 to 2023,% change from 2022 to 2023,2019 Ranking,2020 Ranking,2021 Ranking,2022 Ranking,2023 Ranking
1,Andhra Pradesh,21992,19509,21556,21249,19949,-1300,-6.1,8,7,7,9,9
2,Arunachal Pradesh,237,134,283,227,287,60,26.4,30,32,28,31,29
3,Assam,8350,6595,7411,7023,7421,398,5.7,16,16,16,16,16
4,Bihar,10007,8639,9553,10801,11014,213,2,15,15,15,14,14
5,Chhattisgarh,13899,11656,12375,13279,13468,189,1.4,11,11,11,12,12
6,Goa,3440,2375,2849,3011,2846,-165,-5.5,21,21,21,21,21
7,Gujarat,17046,13398,15186,15751,16349,598,3.8,10,10,10,10,10
8,Haryana,10944,9431,9933,10429,10463,34,0.3,14,14,14,15,15
9,Himachal Pradesh,2873,2239,2404,2597,2253,-344,-13.2,22,22,22,22,22
10,Jharkhand,5217,4405,4728,5175,5315,140,2.7,20,19,19,20,20
11,Karnataka,40658,34178,34647,39762,43440,3678,9.3,5,4,4,5,5
12,Kerala,41111,27877,33296,43910,48091,4181,9.5,4,5,5,3,3
13,Madhya Pradesh,50669,45266,48877,54432,55327,895,1.6,2,2,2,2,2
14,Maharashtra,32925,24971,29477,33383,35243,1860,5.6,6,6,6,6,6
15,Manipur,672,432,366,508,398,-110,-21.7,25,27,27,26,26
16,Meghalaya,482,214,245,246,223,-23,-9.3,27,28,29,29,30
17,Mizoram,62,53,69,133,106,-27,-20.3,35,34,35,35,35
18,Nagaland,358,500,746,489,303,-186,-38,28,25,25,27,27
19,Odisha,11064,9817,10983,11663,11992,329,2.8,13,13,13,13,13
20,Punjab,6348,5203,5871,6138,6269,131,2.1,17,17,17,17,18
21,Rajasthan,23480,19114,20951,23614,24694,1080,4.6,7,9,9,7,7
22,Sikkim,162,138,155,211,182,-29,-13.7,32,31,32,32,31
23,Tamil Nadu,62685,49844,55682,64105,67213,3108,4.8,1,1,1,1,1
24,Telangana,21570,19172,21315,21619,22903,1284,5.9,9,8,8,8,8
25,Tripura,655,466,479,575,577,2,0.3,26,26,26,25,25
26,Uttarakhand,1352,1041,1405,1674,1691,17,1,24,23,23,23,23
27,Uttar Pradesh,42572,34243,37729,41746,44534,2788,6.7,3,3,3,4,4
28,West Bengal,12658,10863,11937,13686,13795,109,0.8,12,12,12,11,11
29,Andaman & Nicobar Islands,230,141,115,141,143,2,1.4,31,30,34,34,34
30,Chandigarh,305,159,208,237,182,-55,-23.2,29,29,31,30,31
31,Dadra & Nagar Haveli*,68,100,140,196,182,-14,-7.1,34,33,33,33,31
32,Daman & Diu,69,,,0,,,,33,NA,NA,37,#N/A
33,Delhi,5610,4178,4720,5652,5834,182,3.2,19,20,20,19,19
34,J & K #,5796,4860,5452,6092,6298,206,3.4,18,18,18,18,17
35,Ladakh,NA,NA,236,374,289,-85,-22.7,Na,NA,30,28,28
36,Lakshadweep,1,1,4,3,1,-2,-66.7,36,35,36,36,36
37,Puducherry,1392,969,1049,1181,1308,127,10.8,23,24,24,24,24
Total,All India,"4,56,959","3,72,181","4,12,432","4,61,312","4,80,583","19,271",4.2,,,,,
# includes Ladakh for 2019 and 2020,,,,,,,,,,,,,
* Dadra and Nagar Haveli includes Daman and Diu ,,,,,,,,,,,,,
